"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2795","TC_CART_03 Verify Remove Product From Cart","chromium","2026-06-05","passed","2026-06-05","","cart/cart.spec.js","",""
"","60119","TC_CHK_07 Verify Payment Information Validation","chromium","2026-06-05","broken","2026-06-05","","checkout/checkout.spec.js","",""
"","2225","TC_AUTH_11 Verify session expiration handling","chromium","2026-06-05","failed","2026-06-05","","auth/login.spec.js","",""
"","1658","TC_CHK_09 Verify Order Confirmation Message","chromium","2026-06-05","passed","2026-06-05","","checkout/checkout.spec.js","",""
"","1938","TC_PDT_09 Verify negative quantity handling","chromium","2026-06-05","passed","2026-06-05","","product/product.spec.js","",""
"","1873","TC_PDT_02 Verify product price is correct","chromium","2026-06-05","passed","2026-06-05","","product/product.spec.js","",""
"","693","get started link","chromium","2026-06-05","passed","2026-06-05","","example.spec.js","",""
"","1856","TC_PDT_10 Verify numeric quantity parsing","chromium","2026-06-05","passed","2026-06-05","","product/product.spec.js","",""
"","2948","TC_PAY_07 Verify Payment Validation Flow","chromium","2026-06-05","passed","2026-06-05","","payment/payment.spec.js","",""
"","60162","TC_PAY_01 Verify Payment Page Navigation","chromium","2026-06-05","broken","2026-06-05","","payment/payment.spec.js","",""
"","1148","TC_CART_04 Verify Empty Cart Message","chromium","2026-06-05","passed","2026-06-05","","cart/cart.spec.js","",""
"","4232","TC_SRH_05 Verify sorting functionality","chromium","2026-06-05","passed","2026-06-05","","search/search.spec.js","",""
"","13616","TC_CHK_13 Verify Checkout Total Visibility _addon test cases","chromium","2026-06-05","failed","2026-06-05","","checkout/checkout.spec.js","",""
"","2216","TC_SRH_04 Verify search result count","chromium","2026-06-05","passed","2026-06-05","","search/search.spec.js","",""
"","1333","TC_PRF_11 Verify Screenshot Capture","chromium","2026-06-05","failed","2026-06-05","","profile_addon/profile_addon.spec.js","",""
"","2064","TC_CHK_04 Verify Shipping Address Form","chromium","2026-06-05","passed","2026-06-05","","checkout/checkout.spec.js","",""
"","1855","TC_PRF_02 Verify My Account Navigation","chromium","2026-06-05","failed","2026-06-05","","profile_addon/profile_addon.spec.js","",""
"","2538","TC_PAY_14 Verify Payment Screenshot Capture _addon test cases","chromium","2026-06-05","passed","2026-06-05","","payment/payment.spec.js","",""
"","2281","TC_CART_13 Verify Cart Refresh Persistence _addon test cases","chromium","2026-06-05","passed","2026-06-05","","cart/cart.spec.js","",""
"","2575","TC_PAY_09 Verify Payment Page Refresh","chromium","2026-06-05","passed","2026-06-05","","payment/payment.spec.js","",""
"","9275","TC_SRH_09 Verify search suggestions","chromium","2026-06-05","passed","2026-06-05","","search/search.spec.js","",""
"","2001","TC_AUTH_12 Verify login page responsive rendering","chromium","2026-06-05","passed","2026-06-05","Session Test Cases","auth/session.spec.js","",""
"","1943","TC_AUTH_05 Verify logout functionality","chromium","2026-06-05","failed","2026-06-05","","auth/login.spec.js","",""
"","3232","TC_AUTH_13 Verify multiple failed login attempts","chromium","2026-06-05","failed","2026-06-05","","auth/login.spec.js","",""
"","2218","TC_AUTH_02 Verify login with valid credentials","chromium","2026-06-05","failed","2026-06-05","Authentication Test Cases","auth/login.spec.js","",""
"","2673","TC_SRH_03 Verify no-result message","chromium","2026-06-05","passed","2026-06-05","","search/search.spec.js","",""
"","2018","TC_AUTH_08 Verify email format validation","chromium","2026-06-05","passed","2026-06-05","","auth/register.spec.js","",""
"","1828","TC_WSH_03 Verify Empty Wishlist Message","chromium","2026-06-05","passed","2026-06-05","","wishlist_addon/wishlist_addon.spec.js","",""
"","2634","TC_PDT_12 Verify wishlist page navigation","chromium","2026-06-05","passed","2026-06-05","","product/product.spec.js","",""
"","8722","TC_CART_01 Verify Add Product To Cart","chromium","2026-06-05","passed","2026-06-05","Shopping Cart Test Cases","cart/cart.spec.js","",""
"","3434","TC_AUTH_06 Verify remember me functionality","chromium","2026-06-05","failed","2026-06-05","","auth/login.spec.js","",""
"","5447","TC_AUTH_10 Verify login using Enter key","chromium","2026-06-05","failed","2026-06-05","","auth/login.spec.js","",""
"","8475","TC_SRH_15 Verify search API response _addon test cases","chromium","2026-06-05","passed","2026-06-05","","search/search.spec.js","",""
